Name,Rank,Headquarter,CEO,Market Capitalization,Total No. Of Employee,Sectors,url
INTERCONTINENTAL EXCHANGE,262,USA,Jeffrey C. Sprecher,51.61 Billion USD,"8,890","Financial Services, Commodities Trading, Stock Markets, Trading, Capital Markets, Investments, Trading",https://value.today/company/intercontinental-exchange
UBER TECHNOLOGIES,263,USA,Dara Khosrowshahi,51.58 Billion USD,"26,900","Technology, Transportation, Consumer Services, Software and IT, Software Products, Ride Sharing",https://value.today/company/uber-technologies
SUMITOMO MITSUI FINANCIAL GROUP,264,Japan,Makoto Takashima,51.54 Billion USD,"86,700","Financial Services, Banking Services",https://value.today/company/sumitomo-mitsui-financial-group
HONDA MOTOR,265,Japan,Takahiro Hachigo,51.53 Billion USD,"219,722","Consumer Cyclical, Automobile, Bikes, Cars, Capital Goods",https://value.today/company/honda-motor
AIR PRODUCTS AND CHEMICALS,266,USA,Seifi Ghasemi,51.51 Billion USD,"19,275","Basic Materials, Chemicals, Industrial Gases",https://value.today/company/air-products-and-chemicals
QATAR NATIONAL BANK,267,Qatar,Abdulla Mubarak Al-Khalifa,51.32 Billion USD,"29,000","Financial Services, Banking Services, Asset Management, Securities, Credit Cards, Insurance",https://value.today/company/qatar-national-bank-0
SHANGHAI PUDONG DEVELOPMENT BANK,268,China,Ji Xiaohui,51.24 Billion USD,"58,200","Financial Services, Banking Services",https://value.today/company/shanghai-pudong-development-bank
FOXCONN INDUSTRIAL INTERNET,269,China,,51.09 Billion USD,"803,126","Technology, Electronics, Processors / Chips, Technology Hardware, Communications Equipment",https://value.today/company/foxconn-industrial-internet
NORFOLK SOUTHERN CORPORATION,270,USA,James A. Squires,50.93 Billion USD,"20,156","Industries, Railway, Rail Transport, Freight Transport, Railway Operating Company, Transportation",https://value.today/company/norfolk-southern-corporation
CHUGAI PHARMACEUTICAL,271,Japan,Tatsuro Kosaka,50.75 Billion USD,"7,394","Healthcare, Pharmaceutical, HealthCare Products",https://value.today/company/chugai-pharmaceutical
SUNCOR ENERGY,272,Canada,Mark S. Little,50.70 Billion USD,"12,889","Energy, Oil and Gas, Oil Refining, Electricity Generation, Power Generation, Retail, Petrochemicals, Lubricants, Oil Refining, Energy, Chemicals",https://value.today/company/suncor-energy
PRUDENTIAL,273,UK,Charles F. Lowrey,50.49 Billion USD,"51,511","Financial Services, Insurance, Asset Management",https://value.today/company/prudential
EQUINIX,274,USA,Charles J. Meyers,50.31 Billion USD,"8,700","Real Estate, Data Centers, Cloud Services, Technology Hardware, Technology, Consumer Services",https://value.today/company/equinix
PHILLIPS 66,275,USA,Greg C. Garland,50.29 Billion USD,"14,500","Energy, Oil and Gas, Petroleum, Petrochemicals, Natural Gas Generation, Lubricants, Aviation Fuels, Oil Refining, Chemicals, Fuels",https://value.today/company/phillips-66
MARRIOTT INTERNATIONAL,276,USA,Arne M. Sorenson,49.98 Billion USD,"174,000","Consumer Cyclical, Hotels, Consumer Services",https://value.today/company/marriott-international
AIRBNB,276,USA,,,"6,300","Internet or Mobile App Based Business, Rent Services, Consumer Services",https://value.today/company/airbnb
WHATSAPP,276,USA,,,55,"Technology, Communication Services",https://value.today/company/whatsapp
DBS GROUP HOLDINGS,277,Singapore,Piyush Gupta,49.82 Billion USD,"28,526","Financial Services, Banking Services",https://value.today/company/dbs-group-holdings
HCA HEALTHCARE,278,USA,Samuel N. Hazen,49.82 Billion USD,"280,000","Healthcare, Hospitals, HealthCare Products, Healthcare Service",https://value.today/company/hca-healthcare
MMC NORILSK NICKEL,279,Russia,Vladimir Potanin,49.70 Billion USD,"73,700","Basic Materials, Mining, Metals, Nickel, Copper, Platinum",https://value.today/company/mmc-norilsk-nickel
AMERICAN INTERNATIONAL GROUP (AIG),280,USA,Brian Duperreault,49.60 Billion USD,"83,005","Financial Services, Banking Services, Credit Cards, Technology, Insurance",https://value.today/company/american-international-group-aig
ILLUMINA,281,USA,Francis deSouza,49.44 Billion USD,"7,300","Healthcare, Medical Equipment, Biotechnology, Capital Goods, Technology",https://value.today/company/illumina
ATLAS COPCO AB,282,Sweden,Mats Rahmstrom,49.33 Billion USD,"38,774","Industries, Capital Goods, Construction Equipment, Electrical Products, Machinery Manufacturing, Industry Machinery",https://value.today/company/atlas-copco-ab
ICICI BANK,283,India,Sandeep Bakhshi,48.99 Billion USD,"131,232","Financial Services, Banking Services, Wealth Management, Credit Cards, Private Bank",https://value.today/company/icici-bank
EOG RESOURCES,284,USA,William R. Thomas,48.91 Billion USD,"2,900","Energy, Oil and Gas, Natural Gas Generation, Petrochemicals, Petroleum, Chemicals",https://value.today/company/eog-resources
METLIFE,285,USA,Michel A. Khalaf,48.91 Billion USD,"49,000","Financial Services, Insurance, Asset Management",https://value.today/company/metlife
ANZ BANKING GROUP,286,Australia,Shayne Elliott,48.85 Billion USD,"37,506","Financial Services, Banking Services",https://value.today/company/anz-banking-group
EDWARDS LIFESCIENCES CORPORATION,287,USA,Michael A Mussallem,48.84 Billion USD,"13,000","Healthcare, Medical Equipment, HealthCare Products",https://value.today/company/edwards-lifesciences-corporation
AON,288,USA,Gregory C. Case,48.79 Billion USD,"61,000","Financial Services, Insurance, Investments",https://value.today/company/aon
NINTENDO,289,Japan,Shuntaro Furukawa,48.63 Billion USD,"5,944","Communication Services, Electronics, Technology Hardware, Video Games / Mobile Games / Tech Games, Technology, Gaming",https://value.today/company/nintendo
HUMANA,290,USA,Bruce D. Broussard,48.49 Billion USD,"46,000","Healthcare, Insurance, Healthcare Service, HealthCare Products",https://value.today/company/humana
RELX,291,UK,Erik Engstrom,48.35 Billion USD,"33,200","Communication Services, Software and IT, Software Products, Consumer Services, Publishing",https://value.today/company/relx
WASTE MANAGEMENT,292,USA,James C. Fish Jr,48.22 Billion USD,"44,900","Industries, Waste and Trash Management, Environmental Services, Utilities",https://value.today/company/waste-management
KINDER MORGAN,293,USA,Steven J. Kean,48.02 Billion USD,"11,086","Energy, Oil and Gas, Infrastructure, Gas Utilities, Utilities",https://value.today/company/kinder-morgan
ING GROUP,294,Netherlands,Steven van Rijswijk,47.99 Billion USD,"56,000","Financial Services, Banking Services",https://value.today/company/ing-group
BANCO SANTANDER BRASIL SA,295,Brazil,Sergio Rial,47.93 Billion USD,"50,500","Financial Services, Banking Services, Asset Management, Insurance",https://value.today/company/banco-santander-brasil-sa
PINDUODUO,296,China,Colin Huang Zheng,47.92 Billion USD,"5,828","Consumer Cyclical, eCommerce, Internet or Mobile App Based Business, Software and IT, Retail",https://value.today/company/pinduoduo
CAPITAL ONE FINANCIAL CORPORATION,297,USA,Richard Fairbank,47.73 Billion USD,"51,900","Financial Services, Banking Services, Insurance, Credit Cards",https://value.today/company/capital-one-financial-corporation
DEUTSCHE POST AG,298,Germany,Frank Appel,47.72 Billion USD,"546,924","Industries, Courier, Logistics, Freight Transport",https://value.today/company/deutsche-post-ag
SIEMENS HEALTHINEERS AG,299,Germany,,47.67 Billion USD,"52,000","Healthcare, Medical Equipment, HealthCare Products, Technology",https://value.today/company/siemens-healthineers-ag
NETEASE,300,China,Ding Lei,47.52 Billion USD,"22,700","Communication Services, Internet or Mobile App Based Business, Video Games / Mobile Games / Tech Games, Gaming, Software and IT, Software Products, Business Services",https://value.today/company/netease
PERNOD RICARD,301,France,Alexandre Ricard,47.44 Billion USD,"19,140","Consumer Defensive, Beverages, Alcoholic Beverages, FMCG",https://value.today/company/pernod-ricard
DUPONT DE NEMOURS,302,USA,Edward D. Breen,47.21 Billion USD,"35,000","Basic Materials, Chemicals, Plastics / Plastic Products, Agriculture Products, Adhesives",https://value.today/company/dupont-de-nemours
EMERSON ELECTRIC COMPANY,303,USA,David Farr,47.00 Billion USD,"88,000","Industries, Electrical Products, Electronics, Energy, Industry Machinery",https://value.today/company/emerson-electric-company
CHINA PACIFIC INSURANCE GROUP (CPIC),304,China,Kong Qingwei,46.98 Billion USD,"111,247","Financial Services, Insurance",https://value.today/company/china-pacific-insurance-group-cpic
SHOPIFY,305,Canada,Tobias Lutke,46.91 Billion USD,"5,000","Technology, Software and IT, Software Products, Cloud Services, eCommerce, Internet or Mobile App Based Business",https://value.today/company/shopify
AMERICAN ELECTRIC POWER COMPANY,306,USA,Nick Akins,46.83 Billion USD,"17,408","Utilities, Electricity Generation, Electric Utilities, Utilities, Power Generation",https://value.today/company/american-electric-power-company
INTESA SANPAOLO,307,Italy,Carlo Messina,46.65 Billion USD,"89,102","Financial Services, Banking Services",https://value.today/company/intesa-sanpaolo
JARDINE MATHESON HOLDINGS,308,Bermuda,Benjamin William Keswick,46.58 Billion USD,"464,000","Industries, Conglomerate, Automobile, Real Estate, Financial Services, Insurance, Hotels, Shipping, Travel and Transport, Restaurants, Retail, Infrastructure",https://value.today/company/jardine-matheson-holdings
KIMBERLY-CLARK CORPORATION,309,USA,Michael D. Hsu,46.56 Billion USD,"40,000","Consumer Defensive, FMCG, Personal Care Products, Consumer Durables",https://value.today/company/kimberly-clark-corporation
THE BANK OF NEW YORK MELLON CORPORATION,310,USA,Thomas P Gibbons,46.50 Billion USD,"48,400","Financial Services, Banking Services, Wealth Management, Asset Management",https://value.today/company/bank-new-york-mellon-corporation
UBS GROUP AG,311,Switzerland,Sergio Ermotti,46.42 Billion USD,"71,551","Financial Services, Banking Services, Asset Management",https://value.today/company/ubs-group-ag
PING AN BANK,312,China,XIE Yonglin,45.83 Billion USD,"38,600","Financial Services, Banking Services",https://value.today/company/ping-bank
BUDWEISER BREWING COMPANY APAC,313,Hong Kong,Jan Craps,45.62 Billion USD,"28,546","Consumer Defensive, Beverages, Alcoholic Beverages, FMCG, Beer",https://value.today/company/budweiser-brewing-company-apac
SANDS CHINA,314,Macao,Sheldon Adelson,45.57 Billion USD,"28,304","Consumer Cyclical, Real Estate, Casinos, Hotels, Entertainment",https://value.today/company/sands-china
MOODY'S CORPORATION,315,USA,Raymond W. McDaniel Jr,45.20 Billion USD,"11,000","Financial Services, Consulting Services, Investments, Stock Markets, Trading, Capital Markets",https://value.today/company/moodys-corporation
COMPAGNIE FINANCIERE RICHEMONT SA,316,Switzerland,Jerome Lambert,45.10 Billion USD,"35,000","Consumer Cyclical, Luxury Goods, Watches, Leather Products, Clothing, Readymade Clothing, Pens & Stationery, Consumer Goods, Fashion and Luxury Goods",https://value.today/company/compagnie-financiere-richemont-sa
ACTIVISION BLIZZARD,317,USA,Bobby Kotick,45.06 Billion USD,"9,200","Communication Services, Software and IT, Software Products, Video Games / Mobile Games / Tech Games, Gaming, Entertainment, Technology",https://value.today/company/activision-blizzard
ORIENTAL LAND,318,Japan,Toshio Kagami,45.01 Billion USD,"6,007","Consumer Cyclical, Travel and Transport, Tourism, Entertainment",https://value.today/company/oriental-land
ANALOG DEVICES,319,USA,Vincent Roche,44.98 Billion USD,"15,900","Technology, Electronics, Semi Conductors, Power Systems, Power Generation",https://value.today/company/analog-devices
FIRST ABU DHABI BANK,320,UAE,Abdulhamid Saeed,44.92 Billion USD,"5,451","Banking Services, Financial Services",https://value.today/company/first-abu-dhabi-bank
PUBLIC STORAGE,321,USA,Joseph D. Russell Jr,44.92 Billion USD,"5,900","Real Estate, Property Investments, Consumer Services, Investments",https://value.today/company/public-storage
SHIN-ETSU CHEMICAL,322,Japan,Yasuhiko Saito,44.91 Billion USD,"21,735","Basic Materials, Chemicals",https://value.today/company/shin-etsu-chemical
BCE (Bell Canada Enterprises),323,Canada,Mirko Bibic,44.83 Billion USD,"52,100","Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers, Television Services, Radio Broadcasting, Media, Utilities, Telecom Equipment, Advertising, Broadcasting, Telecom",https://value.today/company/bce
KOTAK MAHINDRA BANK,324,India,Uday Kotak,44.70 Billion USD,"60,000","Financial Services, Banking Services",https://value.today/company/kotak-mahindra-bank
SUN HUNG KAI PROPERTIES,325,Hong Kong,Raymond Kwok,44.64 Billion USD,"37,500","Real Estate, Infrastructure, Construction, Property Investments, Conglomerate, Construction, Investments",https://value.today/company/sun-hung-kai-properties
AL RAJHI BANKING AND INVESTMENT CORPORATION,326,Saudi Arabia,Waleed A. Al-Mogbel,44.42 Billion USD,"13,146","Financial Services, Banking Services",https://value.today/company/al-rajhi-banking-and-investment-corporation
KPMG,326,Netherlands,,,"219,281","Professional Services, Consulting Services, Business Services, Accounting and Auditing",https://value.today/company/kpmg
EXELON CORPORATION,327,USA,Christopher M. Crane,44.41 Billion USD,"33,383","Utilities, Electricity Generation, Energy, Nuclear Power, Renewable Energy, Solar Power, Wind Power, Electric Utilities, Power Generation",https://value.today/company/exelon-corporation
L3HARRIS TECHNOLOGIES,328,USA,William M. Bill Brown,44.41 Billion USD,"50,000","Industries, Electronics, Technology Hardware, Communications Equipment, Networking Products / Solutions, Automation, Robotics, Marine Systems, Space Products, Technology, Machinery Manufacturing, Capital Goods, Manufacturing, Aerospace and Defense",https://value.today/company/l3harris-technologies
LAM RESEARCH CORPORATION,329,USA,Timothy M. Archer,44.35 Billion USD,"11,300","Technology, Semi Conductors, Electronics, Technology Hardware, Processors / Chips",https://value.today/company/lam-research-corporation
ANHUI CONCH CEMENT COMPANY,330,China,Bin Wu,44.33 Billion USD,"47,486","Basic Materials, Cement, Construction Materials",https://value.today/company/anhui-conch-cement-company
HANGZHOU HIKVISION DIGITAL TECHNOLOGY,331,China,Hongjia Gong,44.28 Billion USD,"40,000","Technology, Electronics, Cameras & Accessories, Network Hardware and Software, Networking Products / Solutions, Video Making Products, Computers Hardware",https://value.today/company/hangzhou-hikvision-digital-technology
PHILIPS,332,Netherlands,Frans van Houten,44.28 Billion USD,"80,495","Healthcare, Electronics, Medical Equipment, Lighting, Audio & Video Systems, Energy, Consumer Electronics, Technology",https://value.today/company/philips
INVESTOR AB (PUBL),333,Sweden,Johan Forssell,44.00 Billion USD,89,"Financial Services, Investments, Asset Management",https://value.today/company/investor-ab-publ
PICC GROUP (PEOPLE'S INSURANCE COMPANY (GROUP) OF CHINA),334,China,Jianjun Zhang,43.85 Billion USD,"198,951","Financial Services, Insurance",https://value.today/company/picc-group-peoples-insurance-company-group-china
INFOSYS,335,India,Salil Parekh,43.80 Billion USD,"249,312","Technology, Software and IT, Software Products, Software Consulting Services, Software Outsourcing Services, Artificial Intelligence, Cloud Services, Internet of Things, Automation, Robotics, Consulting Services, Outsourcing and Staffing",https://value.today/company/infosys
CHINA OVERSEAS LAND AND INVESTMENT,336,Hong Kong,Zhang Zhichao,43.73 Billion USD,"6,200","Real Estate, Construction, Property Investments, Infrastructure, Construction, Investments",https://value.today/company/china-overseas-land-and-investment
ORSTED A/S,337,Denmark,Henrik Poulsen,43.38 Billion USD,"6,526","Utilities, Electricity Generation, Power Generation, Energy, Electric Utilities",https://value.today/company/orsted-0
SYSCO CORPORATION,338,USA,Kevin Hourican,43.38 Billion USD,"69,000","Consumer Defensive, Food Products, Food Service, Retail, Consumer Non Durables, Food Chains / Distributor",https://value.today/company/sysco-corporation
DAIICHI SANKYO COMPANY,339,Japan,Sunao Manabe,43.30 Billion USD,"15,350","Healthcare, Pharmaceutical, Medical Equipment, HealthCare Products",https://value.today/company/daiichi-sankyo-company
NATIONAL GRID TRANSCO,340,UK,John Pettigrew,43.27 Billion USD,"22,576","Utilities, Gas Utilities, Electric Utilities, Oil and Gas",https://value.today/company/national-grid-transco
BAXTER INTERNATIONAL,341,USA,Jose E. Almeida,43.20 Billion USD,"50,000","Healthcare, Medical Equipment, Pharmaceutical, HealthCare Products",https://value.today/company/baxter-international
BODEGAS ESMERALDA,342,Argentina,,43.08 Billion USD,,"Consumer Defensive, Beverages, Alcoholic Beverages, Wine",https://value.today/company/bodegas-esmeralda
PROGRESSIVE CORPORATION,343,USA,Tricia Griffith,43.01 Billion USD,"41,571","Financial Services, Insurance",https://value.today/company/progressive-corporation
MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT,344,Germany,Joachim Wenning,42.93 Billion USD,"39,662","Financial Services, Insurance",https://value.today/company/munchener-ruckversicherungs-gesellschaft
DASSAULT SYSTEMES,345,France,Bernard Charles,42.90 Billion USD,"20,000","Technology, Technology Hardware, Software and IT, Software Products",https://value.today/company/dassault-systemes
PTT PUBLIC COMPANY,346,Thailand,Chansin Treenuchagron,42.90 Billion USD,"10,875","Energy, Oil and Gas, Coal Mining, Natural Gas Generation, Petrochemicals",https://value.today/company/ptt-public-company
HONG KONG EXCHANGES AND CLEARING (HKEX),347,Hong Kong,Li Xiaojia,42.69 Billion USD,"2,372","Financial Services, Stock Markets, Trading, Capital Markets, Trading",https://value.today/company/hong-kong-exchanges-and-clearing-hkex
SEMPRA ENERGY,348,USA,Jeffrey W. Martin,42.65 Billion USD,"13,969","Utilities, Electric Utilities, Gas Utilities, Oil and Gas",https://value.today/company/sempra-energy
CREDIT AGRICOLE,349,France,Philippe Brassac,42.59 Billion USD,"141,000","Financial Services, Banking Services",https://value.today/company/credit-agricole
CITIC SECURITIES COMPANY,350,China,,42.49 Billion USD,"15,842","Financial Services, Banking Services, Asset Management, Wealth Management, Brokerage Services, Investments, Stock Markets, Trading, Capital Markets",https://value.today/company/citic-securities-company
ROSS STORES,351,USA,Barbara Rentler,42.43 Billion USD,"88,100","Consumer Cyclical, Retail, Consumer Services, Apparels and Accessories",https://value.today/company/ross-stores
STATE BANK OF INDIA,352,India,Vinay M Tonse,42.41 Billion USD,"249,448","Financial Services, Banking Services, Wealth Management, Asset Management, Insurance, Credit Cards",https://value.today/company/state-bank-india
HENKEL AG,353,Germany,Carsten Knobel,42.23 Billion USD,"52,000","Consumer Defensive, Chemicals, Beauty and Personal Care, Personal Care Products, Home Cleaning Accessories, Adhesives, FMCG, Consumer Non Durables, Consumer Goods",https://value.today/company/henkel-ag
BARCLAYS,354,UK,Jes Staley,42.11 Billion USD,"80,800","Financial Services, Banking Services, Wealth Management, Asset Management",https://value.today/company/barclays
HON HAI PRECISION INDUSTRY,355,Taiwan,Yang-wei Liu,42.10 Billion USD,"601,276","Technology, Electronics, Processors / Chips, PCB, Capital Goods",https://value.today/company/hon-hai-precision-industry
FERRARI,356,Italy,Louis C. Camilleri,42.03 Billion USD,"4,285","Consumer Cyclical, Automobile, Cars, Sports Cars, Capital Goods",https://value.today/company/ferrari
GLENCORE,357,Switzerland,Ivan Glasenberg,42.02 Billion USD,"160,000","Basic Materials, Metals, Mining, Trading, Commodities Trading",https://value.today/company/glencore
DAIKIN INDUSTRIES,358,Japan,Masanori Togawa,41.68 Billion USD,"76,484","Industries, Electronics, Electrical Products, Air Conditioners, Refrigerators, Home Appliances",https://value.today/company/daikin-industries
IKEA,358,USA,,,"211,000","Retail, Furniture, Home & Furniture",https://value.today/company/ikea
HITACHI,359,Japan,Toshiaki Higashihara,41.64 Billion USD,"307,275","Industries, Electronics, Engineering Products, Machinery Manufacturing, Automobile Parts, Elevators, Escalators, Defense Products, Construction Equipment, Internet of Things, Infrastructure, Conglomerate, Consumer Electronics, Automobile, Technology",https://value.today/company/hitachi
ECOPETROL,360,Colombia,Felipe Bayon,41.54 Billion USD,"10,920","Energy, Oil and Gas, Natural Gas Generation, Petrochemicals, Petroleum, Fuels, Lubricants, Chemicals",https://value.today/company/ecopetrol
REGENERON PHARMACEUTICALS,361,USA,Leonard Schleifer,41.28 Billion USD,"9,123","Healthcare, Pharmaceutical, BioPharmaceuticals, Biotechnology, HealthCare Products, Technology",https://value.today/company/regeneron-pharmaceuticals
ITC,362,India,Sanjiv Puri,41.10 Billion USD,"27,279","Consumer Defensive, Tobacco Products, Cigarettes, Hotels, Food Products, Agriculture Products, FMCG, Tobacco and Cigarette",https://value.today/company/itc
AUTODESK,363,USA,Andrew Anagnost,41.07 Billion USD,"10,100","Technology, Software and IT, Software Products",https://value.today/company/autodesk
SINGAPORE TELECOMMUNICATIONS (SINGTEL),364,Singapore,Chua Sock Koong,41.03 Billion USD,"25,000","Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers, Television Services, Telecom",https://value.today/company/singapore-telecommunications-singtel
NIDEC CORPORATION,365,Japan,Shigenobu Nagamori,40.84 Billion USD,"107,554","Industries, Electrical Products, Electronics, Industry Machinery",https://value.today/company/nidec-corporation
COMPASS GROUP,366,UK,Dominic Blakemore,40.78 Billion USD,"600,000","Consumer Cyclical, Food Service, Travel and Transport, Food Products, Consumer Services, Facility Support Services, Restaurants",https://value.today/company/compass-group
HANG SENG BANK,367,Hong Kong,Louisa Cheang Wai Wan,40.77 Billion USD,"10,000","Financial Services, Banking Services",https://value.today/company/hang-seng-bank
MITSUBISHI CORPORATION,368,Japan,Takehiko Kakiuchi,40.69 Billion USD,"79,994","Industries, Chemicals, Energy, Financial Services, Oil and Gas, Petrochemicals, Metals, Automobile, Petroleum, Banking Services, Conglomerate, Mining",https://value.today/company/mitsubishi-corporation
KEURIG DR PEPPER,369,USA,Bob Gamgort,40.68 Billion USD,"10,100","Consumer Defensive, Beverages, Coffee, Non-Alcoholic Beverages",https://value.today/company/keurig-dr-pepper
DOW Inc,370,USA,Fitterling,40.43 Billion USD,"35,700","Basic Materials, Chemicals, Paints and Coatings, Plastics / Plastic Products",https://value.today/company/dow
CENTRAL JAPAN RAILWAY COMPANY,371,Japan,Hiroto Takeuchi,40.30 Billion USD,"19,500","Industries, Railway, Rail Transport, Railway Operating Company, Transportation",https://value.today/company/central-japan-railway-company
MANULIFE FINANCIAL CORPORATION,372,Canada,Roy Gori,40.14 Billion USD,"34,000","Financial Services, Insurance, Asset Management",https://value.today/company/manulife-financial-corporation
MURATA MANUFACTURING,373,Japan,Tsuneo Murata,40.14 Billion USD,"74,109","Technology, Electronics, Sensors, Medical Equipment, Capital Goods",https://value.today/company/murata-manufacturing
V.F. CORPORATION,374,USA,Steve Rendle,40.03 Billion USD,"50,000","Consumer Cyclical, Clothing, Readymade Clothing, Apparels and Accessories, Footwear, Consumer Non Durables, Textile",https://value.today/company/v.f.-corporation
CHINA CITIC BANK CORPORATION,375,China,Mingqiang BI,39.95 Billion USD,"56,415","Financial Services, Banking Services",https://value.today/company/china-citic-bank-corporation
DIDI CHUXING,375,China,,,"11,400","Technology, Ride Sharing, Rent Services, Artificial Intelligence, Internet of Things, Software and IT",https://value.today/company/didi-chuxing
DOLLAR GENERAL CORPORATION,376,USA,Todd J Vasos,39.94 Billion USD,"143,000","Consumer Defensive, Retail, Consumer Services",https://value.today/company/dollar-general-corporation
FEDEX CORPORATION,377,USA,Frederick W. Smith,39.93 Billion USD,"600,000","Industries, Courier, Logistics, Transportation, Consumer Services",https://value.today/company/fedex-corporation
ENGIE,378,France,Claire Waysand,39.78 Billion USD,"171,100","Utilities, Electricity Generation, Electric Utilities, Natural Gas Generation, Gas Utilities, Power Generation, Energy, HydroElectric Power, Nuclear Power, Wind Power, Petroleum",https://value.today/company/engie
ANGLO AMERICAN,379,UK,Mark Cutifani,39.78 Billion USD,"90,000","Basic Materials, Mining, Metals, Platinum, Iron and Steel, Nickel, Coal Mining, Copper, Precious Metals",https://value.today/company/anglo-american
JAPAN TOBACCO,380,Japan,Eddy Pirard,39.70 Billion USD,"45,000","Consumer Defensive, Cigarettes, Tobacco Products, FMCG, Tobacco and Cigarette, Pharmaceutical, Food Products",https://value.today/company/japan-tobacco
KAO CORPORATION,381,Japan,Michitaka Sawada,39.67 Billion USD,"33,603","Consumer Defensive, Chemicals, Cosmetics, FMCG, Personal Care Products, Consumer Goods",https://value.today/company/kao-corporation
FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY,382,China,Pang Kang,39.56 Billion USD,"5,554","Consumer Defensive, Food Products, Beverages, FMCG, Food and Beverage, Package Foods",https://value.today/company/foshan-haitian-flavouring-and-food-company
TOKIO MARINE HOLDINGS,383,Japan,Satoru Komiya,39.53 Billion USD,"39,191","Financial Services, Insurance",https://value.today/company/tokio-marine-holdings
PT BANK RAKYAT INDONESIA (PERSERO) TBK,384,Indonesia,,39.50 Billion USD,"61,800","Financial Services, Banking Services",https://value.today/company/pt-bank-rakyat-indonesia-persero-tbk
SAIC MOTOR CORPORATION,385,China,Chen Hong,39.49 Billion USD,"145,000","Consumer Cyclical, Automobile, Cars, Commercial Vehicles",https://value.today/company/saic-motor-corporation
NATIONAL COMMERCIAL BANK,386,Saudi Arabia,Faisal Omar al-Sakkaf,39.41 Billion USD,"13,058","Financial Services, Banking Services",https://value.today/company/national-commercial-bank-0
CITIC,387,China,Stanley Ching,39.41 Billion USD,"287,900","Industries, Investments, Financial Services, Energy, Conglomerate",https://value.today/company/citic
NATWEST GROUP,388,UK,Alison Rose,39.39 Billion USD,"59,900","Banking Services, Insurance, Financial Services",https://value.today/company/natwest-group
KRAFT HEINZ COMPANY,389,USA,Miguel Patricio,39.37 Billion USD,"37,000","Consumer Defensive, Food Products, Food Service, Non-Alcoholic Beverages, FMCG, Consumer Non Durables, Beverages, Package Foods",https://value.today/company/kraft-heinz-company
EATON CORPORATION,390,Ireland,Craig Arnold,39.31 Billion USD,"101,000","Industries, Electrical Products, Technology Hardware, Power Management Tools, Technology, Machinery Manufacturing, Power Generation, Manufacturing, Tools, Industry Machinery",https://value.today/company/eaton-corporation
MARATHON PETROLEUM CORPORATION,391,USA,Michael J. Hennigan,39.30 Billion USD,"60,910","Energy, Oil and Gas, Oil Refining, Petroleum, Petrochemicals, Chemicals",https://value.today/company/marathon-petroleum-corporation
ORANGE S.A,392,France,Stephane Richard,39.29 Billion USD,"135,619","Communication Services, Telecom, Mobile Services, Fixed Line Service, Television Services, Internet Providers, Utilities, Broadcasting, Telecom Equipment, Telecom",https://value.today/company/orange
MIZUHO FINANCIAL GROUP,393,Japan,Yasuhiro Sato,39.27 Billion USD,"76,839","Financial Services, Banking Services",https://value.today/company/mizuho-financial-group
CHINA MINSHENG BANKING,394,China,Zheng Wanchun,39.21 Billion USD,"58,300","Financial Services, Banking Services",https://value.today/company/china-minsheng-banking
AUDI AG,395,Germany,Markus Duesmann,39.05 Billion USD,"90,640","Consumer Cyclical, Automobile, Cars",https://value.today/company/audi-ag
VALERO ENERGY CORPORATION,396,USA,Joseph W. Gorder,38.95 Billion USD,"10,222","Energy, Oil and Gas, Petrochemicals, Lubricants, Fuels, Natural Gas Generation, Power Generation, Chemicals",https://value.today/company/valero-energy-corporation
WORKDAY,397,USA,Aneel Bhusri,38.89 Billion USD,"12,500","Technology, Software and IT, Software Products, Artificial Intelligence",https://value.today/company/workday
AFLAC,398,USA,Dan Amos,38.79 Billion USD,"11,729","Financial Services, Insurance",https://value.today/company/aflac
NEWMONT CORPORATION,399,USA,Tom Palmer,38.79 Billion USD,"14,300","Basic Materials, Mining, Metals, Gold Mining, Precious Metals",https://value.today/company/newmont-goldcorp-corporation
JARDINE STRATEGIC HOLDINGS,400,Hong Kong,David Hsu,38.78 Billion USD,"464,000","Industries, Conglomerate, Automobile, Real Estate, Financial Services, Insurance, Hotels, Shipping, Travel and Transport, Restaurants, Retail, Infrastructure",https://value.today/company/jardine-strategic-holdings
CHINA TOWER CORPORATION,401,China,Tong Jilu,38.67 Billion USD,,"Communication Services, Telecom, Infrastructure, Cell Towers Infrastructure, Telecom",https://value.today/company/china-tower-corporation
BANCO DO BRASIL,402,Brazil,Andre Guilherme Brandao,38.43 Billion USD,"93,190","Financial Services, Banking Services",https://value.today/company/banco-do-brasil
BANCO BILBAO VIZCAYA ARGENTARIA,403,Spain,Onur Genc,38.37 Billion USD,"126,973","Financial Services, Banking Services, Asset Management, Insurance",https://value.today/company/banco-bilbao-vizcaya-argentaria
CANADIAN NATURAL RESOURCES,404,Canada,Murray Edwards,38.30 Billion USD,"10,180","Energy, Oil and Gas, Natural Gas Generation, Petroleum",https://value.today/company/canadian-natural-resources
